ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,outcome_60d,outcome_90d,outcome_180d,iwm_60d,iwm_90d,iwm_180d
PBF,Pbf Energy Inc.,2020-10-01,2020-09-28,2020-09-30,571055,3,605.0,$500M-$5B,True,False,5.395981788635254,8.86,3.34,-15.05,2020-10-08,2020-10-12,2020-11-02,False,,23.3,69.0,170.61,30.69,49.55,50.06
EBC,"Eastern Bankshares, Inc.",2020-10-16,2020-10-14,2020-10-14,5723690,7,2100.5,$500M-$5B,False,False,10.397253036499023,3.11,1.6,17.24,2020-10-23,2020-10-26,2020-11-16,False,,36.69,50.97,65.38,29.6,34.89,38.72
CGEM,"Cullinan Management, Inc.",2021-01-14,2021-01-12,2021-01-12,16800000,3,1418.7,$500M-$5B,False,False,35.08000183105469,8.84,10.01,21.24,2021-01-21,2021-01-25,2021-02-16,False,,-20.35,-23.97,-39.81,3.56,2.68,4.57
ADC,Agree Realty Corp,2021-03-04,2021-03-02,2021-03-03,755591,3,3213.5,$500M-$5B,False,False,51.76102828979492,2.11,7.69,7.11,2021-03-11,2021-03-15,2021-04-05,False,,11.67,17.12,13.79,5.97,4.63,11.34
EWTX,"Edgewise Therapeutics, Inc.",2021-03-31,2021-03-30,2021-03-30,25750000,3,1545.9,$500M-$5B,False,False,30.01000022888184,-0.03,-4.67,-4.57,2021-04-07,2021-04-12,2021-04-30,False,,-23.11,-44.03,-41.26,5.29,0.7,-0.77
JANX,"Janux Therapeutics, Inc.",2021-06-16,2021-06-15,2021-06-15,32099961,3,753.3,$500M-$5B,False,False,18.65999984741211,24.38,31.94,43.35,2021-06-23,2021-06-28,2021-07-16,False,,51.32,32.52,-6.57,-3.59,-0.77,-11.67
GLUE,"Monte Rosa Therapeutics, Inc.",2021-06-30,2021-06-28,2021-06-28,265350010,15,965.7,$500M-$5B,False,False,22.239999771118164,-11.74,-13.49,10.25,2021-07-07,2021-07-12,2021-07-30,False,,9.78,14.71,-42.73,-2.46,5.74,-10.03
ABOS,"Acumen Pharmaceuticals, Inc.",2021-07-08,2021-07-06,2021-07-06,28696000,3,657.6,$500M-$5B,False,False,18.899999618530277,-8.47,1.11,-20.42,2021-07-15,2021-07-19,2021-08-09,False,,-16.42,-24.58,-68.11,0.57,8.36,-6.41
SLQT,"Selectquote, Inc.",2021-08-30,2021-08-30,2021-08-30,3905101,3,1454.9,$500M-$5B,True,False,9.550000190734863,31.2,37.59,34.66,2021-09-07,2021-09-09,2021-09-29,False,,4.27,-13.05,-66.48,2.91,-2.46,-18.35
ACT,"Enact Holdings, Inc.",2021-09-20,2021-09-20,2021-09-20,1178000,3,2604.6,$500M-$5B,False,False,16.123607635498047,8.9,9.6,15.69,2021-09-27,2021-09-30,2021-10-20,False,,10.84,11.06,30.99,-0.79,-11.28,-11.4
TRDA,"Entrada Therapeutics, Inc.",2021-11-05,2021-11-02,2021-11-02,16000000,5,743.6,$500M-$5B,False,False,26.700000762939453,21.35,28.99,-16.63,2021-11-12,2021-11-15,2021-12-06,False,,-58.63,-61.66,-52.4,-16.48,-14.92,-23.57
PRM,"Perimeter Solutions, Sa",2021-11-10,2021-11-09,2021-11-09,5698710,3,2011.4,$500M-$5B,False,True,13.170000076293944,-0.23,-1.82,-10.63,2021-11-17,2021-11-22,2021-12-10,False,,6.97,-3.89,-6.33,-15.75,-12.31,-20.53
